"id","player","pos","team","avg_projection","overall_ecr","adp_average","CBS","ESPN","FFToday","FanDuel","FantasyPros","FantasySharks","RTSports","adp_yahoo","adp_espn"
"16627","Ladd McConkey","WR","LAC",185.25,34.54,44.6,227.2,219.9,207.6,197.89,NA,13.7,245.2,44.6,45.9
"17104","Colston Loveland","TE","CHI",185.1,37.26,39.2,235.6,207.1,193.8,209.31,210.79,11.29,202.9,39.2,42.3
"14797","D'Andre Swift","RB","CHI",184.44,51.79,45.6,238.6,210,223.5,232.02,NA,15.4,191.1,45.6,52.2
"17070","Luther Burden","WR","CHI",181.93,46.95,57.8,216.8,205,201.9,187.91,NA,12.8,267.2,57.8,75
"15284","Jaylen Waddle","WR","DEN",179.49,34.45,39.8,213.1,213.5,206.7,206.43,NA,12.3,224.9,39.8,52.5
"13635","D.J. Moore","WR","BUF",179.43,50.71,58.9,210.4,207.2,207,174.99,NA,13.3,267.7,58.9,59.8
"17103","Harold Fannin","TE","CLE",177.09,76.92,70.7,226.7,186.6,187.1,168.18,188.15,11.1,226,70.7,70.6
"14109","Terry McLaurin","WR","WAS",176.43,48.49,54.3,216.6,218.1,194.7,183.53,NA,14,231.6,54.3,61
"14071","David Montgomery","RB","HOU",175.06,59.35,53.1,199.7,201.3,199.9,220.65,NA,10.5,226.3,53.1,61.7
"17102","Tyler Warren","TE","IND",173.56,53.94,47,200.4,211.7,191.6,183.26,193.13,10.6,195.7,47,51.9
"11671","Mike Evans","WR","SFO",172.62,61.23,69.7,201,181.9,206.5,213.42,NA,12.1,220.8,69.7,83.9
"16616","Rome Odunze","WR","CHI",171.29,59.17,66.5,202,211.4,201.5,158.08,NA,13.6,240.8,66.5,65.9
"16192","Parker Washington","WR","JAC",169.89,58.69,77,196.6,182.8,173.4,233.96,NA,11.8,220.8,77,90.1
"14102","DK Metcalf","WR","PIT",168.79,79.76,85.6,193.1,195.4,197.4,190.78,NA,12.6,221.8,85.6,85.6
"15789","Christian Watson","WR","GBP",168.11,57.3,67.7,198.7,187.6,205.2,197.29,NA,12.2,208.1,67.7,88.8
"15768","Alec Pierce","WR","IND",167.71,100.5,96,209.7,184.1,181.7,205.08,NA,12,213.7,96,107.5
"16614","Marvin Harrison Jr.","WR","ARI",166.6,69.69,78.2,203.2,194.4,193.3,175.29,NA,12.6,220.8,78.2,79
